index,n_layers,n_neurons,mean_loss,std_loss,num_runs,95%_CI,ci95_lower,ci95_upper
0,1-layer,1,0.41264184000000004,0.016411999788515177,10,0.010172262856822302,0.4024695771431777,0.42281410285682236
1,1-layer,128,0.35311404999999996,0.003970197252656351,10,0.0024607537513932623,0.3506532962486067,0.3555748037513932
2,1-layer,16,0.36605094,0.0029620765157046306,10,0.0018359140450911401,0.36421502595490884,0.36788685404509114
3,1-layer,2,0.40964980000000006,0.02665693113515592,10,0.016522137092200694,0.3931276629077994,0.42617193709220075
4,1-layer,256,0.35541972,0.008467854548664234,10,0.0052484306246840355,0.35017128937531594,0.36066815062468405
5,1-layer,32,0.36005705,0.0032826639223688795,10,0.0020346161783593715,0.3580224338216406,0.36209166617835936
6,1-layer,4,0.38130548000000003,0.0038461465733900606,10,0.0023838663438058515,0.3789216136561942,0.38368934634380586
7,1-layer,512,0.36171109,0.009253694023763939,10,0.005735498977534939,0.35597559102246507,0.36744658897753496
8,1-layer,64,0.35621881,0.0029532467953649697,10,0.0018304413277255142,0.35438836867227447,0.3580492513277255
9,1-layer,8,0.37671843,0.004270218639224207,10,0.0026467089333432514,0.37407172106665676,0.3793651389333432
10,2-layer,1-1,0.41840776,0.009211662969928683,10,0.005709447860469932,0.41269831213953007,0.42411720786046997
11,2-layer,128-64,0.35622061,0.003849797020753176,10,0.002386128914522468,0.35383448108547755,0.35860673891452244
12,2-layer,16-8,0.37375049000000005,0.006188962860779755,10,0.003835958922874098,0.36991453107712596,0.37758644892287413
13,2-layer,2-1,0.4178569,0.016099797071529937,10,0.00997875760805851,0.4078781423919415,0.4278356576080585
14,2-layer,256-128,0.35572157,0.0037315826481683616,10,0.002312858887293455,0.35340871111270655,0.3580344288872934
15,2-layer,32-16,0.36477922,0.0037770080598272457,10,0.002341013849134052,0.36243820615086597,0.36712023384913406
16,2-layer,4-2,0.41532907,0.026461443712988662,10,0.016400972732639862,0.39892809726736017,0.4317300427326399
17,2-layer,48-24,0.37223238,0.006080061006053579,10,0.0037684608540132065,0.36846391914598675,0.3760008408540132
18,2-layer,512-256,0.35624148,0.005716997909897967,10,0.0035434320156451328,0.3526980479843549,0.3597849120156451
19,2-layer,64-32,0.35960837,0.003275392613633437,10,0.002030109374513213,0.3575782606254868,0.3616384793745132
20,2-layer,8-4,0.38448709999999997,0.004561592067834796,10,0.00282730405541939,0.3816597959445806,0.38731440405541934
21,3-layer,1-1-1,0.42992771,0.02378035318153997,10,0.014739215604911985,0.41518849439508804,0.444666925604912
22,3-layer,128-64-32,0.35962302,0.007295771213030795,10,0.0045219658468507,0.3551010541531493,0.36414498584685073
23,3-layer,16-8-4,0.38480979,0.004862234069151988,10,0.003013643898376229,0.38179614610162377,0.3878234338983762
24,3-layer,2-1-1,0.44676601,0.054715853528965644,10,0.03391323736925187,0.4128527726307481,0.4806792473692519
25,3-layer,256-128-64,0.36445275,0.006719934587024563,10,0.004165058608378757,0.36028769139162126,0.3686178086083787
26,3-layer,32-16-8,0.38788458000000003,0.004008918865840133,10,0.0024847536558912663,0.38539982634410874,0.3903693336558913
27,3-layer,4-2-1,0.43865432000000004,0.03092345265137414,10,0.019166554524964154,0.4194877654750359,0.45782087452496417
28,3-layer,512-256-128,0.36035175,0.0037116762506237567,10,0.002300520774268507,0.3580512292257315,0.36265227077426854
29,3-layer,64-32-16,0.3650181,0.0031727275020433606,10,0.001966476879096655,0.36305162312090333,0.3669845768790967
30,3-layer,8-4-2,0.41017377,0.015254402693725303,10,0.009454776744085656,0.4007189932559143,0.4196285467440857
