run000 | epochs: 71 | time (s): 38.91 | final validation loss: 0.4002354
run001 | epochs: 37 | time (s): 21.13 | final validation loss: 0.4742945
run002 | epochs: 24 | time (s): 13.36 | final validation loss: 0.3814845
run003 | epochs: 25 | time (s): 14.24 | final validation loss: 0.3747968
run004 | epochs: 18 | time (s): 10.36 | final validation loss: 0.3702732
run005 | epochs: 16 | time (s): 9.57 | final validation loss: 0.3596709
run006 | epochs: 13 | time (s): 7.76 | final validation loss: 0.3573656
run007 | epochs: 8 | time (s): 5.08 | final validation loss: 0.3562462
run008 | epochs: 9 | time (s): 6.64 | final validation loss: 0.3768027
run009 | epochs: 9 | time (s): 9.09 | final validation loss: 0.3579225
run010 | epochs: 74 | time (s): 47.70 | final validation loss: 0.4255720
run011 | epochs: 51 | time (s): 32.59 | final validation loss: 0.4290124
run012 | epochs: 28 | time (s): 21.46 | final validation loss: 0.4353626
run013 | epochs: 22 | time (s): 17.75 | final validation loss: 0.3821382
run014 | epochs: 13 | time (s): 8.92 | final validation loss: 0.3649984
run015 | epochs: 10 | time (s): 7.17 | final validation loss: 0.3596512
run016 | epochs: 8 | time (s): 6.08 | final validation loss: 0.3639269
run017 | epochs: 6 | time (s): 4.91 | final validation loss: 0.3585846
run018 | epochs: 5 | time (s): 4.78 | final validation loss: 0.3572078
run019 | epochs: 4 | time (s): 5.38 | final validation loss: 0.3481129
run020 | epochs: 63 | time (s): 52.70 | final validation loss: 0.4802748
run021 | epochs: 50 | time (s): 41.63 | final validation loss: 0.4088087
run022 | epochs: 38 | time (s): 32.74 | final validation loss: 0.4097491
run023 | epochs: 29 | time (s): 23.59 | final validation loss: 0.3947149
run024 | epochs: 16 | time (s): 13.30 | final validation loss: 0.3841824
run025 | epochs: 14 | time (s): 12.14 | final validation loss: 0.3806299
run026 | epochs: 7 | time (s): 5.79 | final validation loss: 0.3645105
run027 | epochs: 5 | time (s): 4.49 | final validation loss: 0.3492970
run028 | epochs: 5 | time (s): 5.54 | final validation loss: 0.3605546
run029 | epochs: 4 | time (s): 5.95 | final validation loss: 0.3583042
run030 | epochs: 67 | time (s): 43.66 | final validation loss: 0.3980083
run031 | epochs: 35 | time (s): 22.53 | final validation loss: 0.3954822
run032 | epochs: 24 | time (s): 15.55 | final validation loss: 0.3878571
run033 | epochs: 25 | time (s): 16.30 | final validation loss: 0.3776811
run034 | epochs: 18 | time (s): 11.74 | final validation loss: 0.3622400
run035 | epochs: 16 | time (s): 10.80 | final validation loss: 0.3637030
run036 | epochs: 13 | time (s): 9.06 | final validation loss: 0.3617272
run037 | epochs: 8 | time (s): 5.90 | final validation loss: 0.3571204
