index,n_layers,n_neurons,mean_loss,std_loss,num_runs,95%_CI,ci95_lower,ci95_upper
0,1-layer,1,0.41268326,0.01493124583498943,10,0.00925448204792397,0.40342877795207605,0.42193774204792395
1,1-layer,128,0.35533069,0.009714493999798,10,0.006021105761658592,0.3493095842383414,0.3613517957616586
2,1-layer,16,0.36544823,0.0033052118332012204,10,0.0020485915182822533,0.36339963848171775,0.3674968215182822
3,1-layer,2,0.40923378,0.020955902072516214,10,0.012988602670628475,0.39624517732937153,0.42222238267062845
4,1-layer,256,0.35565194,0.004158087516635511,10,0.002577209343524772,0.3530747306564752,0.3582291493435248
5,1-layer,32,0.36159967000000004,0.003459064384756218,10,0.0021439503176837386,0.3594557196823163,0.36374362031768376
6,1-layer,4,0.38174966,0.0026054365687496325,10,0.0016148663158431728,0.3801347936841568,0.38336452631584317
7,1-layer,512,0.36171109,0.009253694023763939,10,0.005735498977534939,0.35597559102246507,0.36744658897753496
8,1-layer,64,0.35621881,0.0029532467953649697,10,0.0018304413277255142,0.35438836867227447,0.3580492513277255
9,1-layer,8,0.37706669000000004,0.00391750130637431,10,0.0024280924655062726,0.37463859753449374,0.37949478246550633
10,2-layer,1-1,0.41895673999999994,0.010568061883198409,10,0.006550152616884998,0.4124065873831149,0.42550689261688496
11,2-layer,128-64,0.35622061,0.003849797020753176,10,0.002386128914522468,0.35383448108547755,0.35860673891452244
12,2-layer,16-8,0.37375049000000005,0.006188962860779755,10,0.003835958922874098,0.36991453107712596,0.37758644892287413
13,2-layer,2-1,0.41898460000000004,0.01784901809991551,10,0.011062936033887558,0.40792166396611246,0.4300475360338876
14,2-layer,256-128,0.35572157,0.0037315826481683616,10,0.002312858887293455,0.35340871111270655,0.3580344288872934
15,2-layer,32-16,0.36477922,0.0037770080598272457,10,0.002341013849134052,0.36243820615086597,0.36712023384913406
16,2-layer,4-2,0.41492465999999995,0.022452523281468597,10,0.013916218106330121,0.4010084418936698,0.4288408781063301
17,2-layer,48-24,0.37223238,0.006080061006053579,10,0.0037684608540132065,0.36846391914598675,0.3760008408540132
18,2-layer,512-256,0.35624148,0.005716997909897967,10,0.0035434320156451328,0.3526980479843549,0.3597849120156451
19,2-layer,64-32,0.35960837,0.003275392613633437,10,0.002030109374513213,0.3575782606254868,0.3616384793745132
20,2-layer,8-4,0.38448709999999997,0.004561592067834796,10,0.00282730405541939,0.3816597959445806,0.38731440405541934
21,3-layer,1-1-1,0.42988521,0.022894431266113114,10,0.014190115512877632,0.4156950944871224,0.44407532551287765
22,3-layer,128-64-32,0.35962302,0.007295771213030795,10,0.0045219658468507,0.3551010541531493,0.36414498584685073
23,3-layer,16-8-4,0.38479169999999996,0.0050557354684226535,10,0.003133577308192719,0.38165812269180727,0.38792527730819265
24,3-layer,2-1-1,0.44650975,0.05476408178724953,10,0.03394312955342882,0.41256662044657116,0.4804528795534288
25,3-layer,256-128-64,0.36445275,0.006719934587024563,10,0.004165058608378757,0.36028769139162126,0.3686178086083787
26,3-layer,32-16-8,0.38306119,0.005694112764455356,10,0.0035292476555452896,0.3795319423444547,0.3865904376555453
27,3-layer,4-2-1,0.4403397,0.028909034776077275,10,0.017918005390486307,0.4224216946095137,0.4582577053904863
28,3-layer,512-256-128,0.36035175,0.0037116762506237567,10,0.002300520774268507,0.3580512292257315,0.36265227077426854
29,3-layer,64-32-16,0.3650181,0.0031727275020433606,10,0.001966476879096655,0.36305162312090333,0.3669845768790967
30,3-layer,8-4-2,0.42268482,0.017578484525805974,10,0.010895257587452068,0.41178956241254794,0.4335800775874521
