run000 | epochs: 70 | time (s): 39.84 | final validation loss: 0.3983192
run001 | epochs: 44 | time (s): 24.31 | final validation loss: 0.4600975
run002 | epochs: 25 | time (s): 13.88 | final validation loss: 0.3807119
run003 | epochs: 26 | time (s): 14.59 | final validation loss: 0.3746576
run004 | epochs: 17 | time (s): 9.58 | final validation loss: 0.3690033
run005 | epochs: 17 | time (s): 9.89 | final validation loss: 0.3601992
run006 | epochs: 13 | time (s): 7.83 | final validation loss: 0.3573656
run007 | epochs: 10 | time (s): 6.17 | final validation loss: 0.3540970
run008 | epochs: 10 | time (s): 7.57 | final validation loss: 0.3539942
run009 | epochs: 9 | time (s): 8.74 | final validation loss: 0.3579225
run010 | epochs: 80 | time (s): 50.10 | final validation loss: 0.4244888
run011 | epochs: 50 | time (s): 34.08 | final validation loss: 0.4304217
run012 | epochs: 31 | time (s): 21.81 | final validation loss: 0.4350522
run013 | epochs: 22 | time (s): 17.62 | final validation loss: 0.3821382
run014 | epochs: 13 | time (s): 10.59 | final validation loss: 0.3649984
run015 | epochs: 10 | time (s): 7.49 | final validation loss: 0.3596512
run016 | epochs: 8 | time (s): 6.90 | final validation loss: 0.3639269
run017 | epochs: 6 | time (s): 6.93 | final validation loss: 0.3585846
run018 | epochs: 5 | time (s): 7.63 | final validation loss: 0.3572078
run019 | epochs: 4 | time (s): 5.47 | final validation loss: 0.3481129
run020 | epochs: 63 | time (s): 50.07 | final validation loss: 0.4802748
run021 | epochs: 50 | time (s): 41.71 | final validation loss: 0.4088087
run022 | epochs: 45 | time (s): 37.65 | final validation loss: 0.4170295
run023 | epochs: 37 | time (s): 30.51 | final validation loss: 0.4266724
run024 | epochs: 17 | time (s): 13.98 | final validation loss: 0.3822071
run025 | epochs: 13 | time (s): 10.78 | final validation loss: 0.3766399
run026 | epochs: 7 | time (s): 5.96 | final validation loss: 0.3645105
run027 | epochs: 5 | time (s): 4.28 | final validation loss: 0.3492970
run028 | epochs: 5 | time (s): 5.27 | final validation loss: 0.3605546
run029 | epochs: 4 | time (s): 5.58 | final validation loss: 0.3583042
run030 | epochs: 70 | time (s): 43.42 | final validation loss: 0.3981768
run031 | epochs: 44 | time (s): 27.56 | final validation loss: 0.4002210
run032 | epochs: 25 | time (s): 15.12 | final validation loss: 0.3827628
run033 | epochs: 26 | time (s): 16.28 | final validation loss: 0.3785621
run034 | epochs: 17 | time (s): 11.01 | final validation loss: 0.3599399
run035 | epochs: 17 | time (s): 11.82 | final validation loss: 0.3631263
run036 | epochs: 13 | time (s): 9.54 | final validation loss: 0.3617272
run037 | epochs: 10 | time (s): 7.41 | final validation loss: 0.3819830
run038 | epochs: 10 | time (s): 7.87 | final validation loss: 0.3530336
run039 | epochs: 9 | time (s): 9.58 | final validation loss: 0.3656399
run040 | epochs: 80 | time (s): 52.35 | final validation loss: 0.4327374
run041 | epochs: 50 | time (s): 33.61 | final validation loss: 0.4537152
run042 | epochs: 31 | time (s): 21.24 | final validation loss: 0.3988886
run043 | epochs: 22 | time (s): 14.84 | final validation loss: 0.3826018
run044 | epochs: 13 | time (s): 9.03 | final validation loss: 0.3702016
run045 | epochs: 10 | time (s): 6.86 | final validation loss: 0.3692728
run046 | epochs: 8 | time (s): 5.66 | final validation loss: 0.3572318
run047 | epochs: 6 | time (s): 4.44 | final validation loss: 0.3537484
run048 | epochs: 5 | time (s): 4.51 | final validation loss: 0.3556672
run049 | epochs: 4 | time (s): 4.86 | final validation loss: 0.3635748
run050 | epochs: 63 | time (s): 48.42 | final validation loss: 0.4260560
run051 | epochs: 50 | time (s): 42.04 | final validation loss: 0.4360847
run052 | epochs: 45 | time (s): 37.30 | final validation loss: 0.4290655
run053 | epochs: 37 | time (s): 30.74 | final validation loss: 0.4414509
run054 | epochs: 17 | time (s): 15.77 | final validation loss: 0.3828919
run055 | epochs: 13 | time (s): 11.81 | final validation loss: 0.3820806
run056 | epochs: 7 | time (s): 5.98 | final validation loss: 0.3595766
run057 | epochs: 5 | time (s): 4.51 | final validation loss: 0.3552309
run058 | epochs: 5 | time (s): 5.75 | final validation loss: 0.3806820
run059 | epochs: 4 | time (s): 5.89 | final validation loss: 0.3580083
run060 | epochs: 70 | time (s): 44.43 | final validation loss: 0.4277037
run061 | epochs: 44 | time (s): 37.74 | final validation loss: 0.3952551
run062 | epochs: 25 | time (s): 23.05 | final validation loss: 0.3819313
run063 | epochs: 26 | time (s): 19.78 | final validation loss: 0.3780259
run064 | epochs: 17 | time (s): 10.69 | final validation loss: 0.3646967
run065 | epochs: 17 | time (s): 10.96 | final validation loss: 0.3689563
run066 | epochs: 13 | time (s): 8.65 | final validation loss: 0.3541896
run067 | epochs: 10 | time (s): 7.03 | final validation loss: 0.3531722
run068 | epochs: 10 | time (s): 8.47 | final validation loss: 0.3606608
run069 | epochs: 9 | time (s): 9.97 | final validation loss: 0.3601040
run070 | epochs: 80 | time (s): 56.58 | final validation loss: 0.4225362
run071 | epochs: 50 | time (s): 43.13 | final validation loss: 0.4408563
run072 | epochs: 31 | time (s): 27.24 | final validation loss: 0.4195139
run073 | epochs: 22 | time (s): 17.47 | final validation loss: 0.3849785
run074 | epochs: 13 | time (s): 11.08 | final validation loss: 0.3691347
run075 | epochs: 10 | time (s): 8.71 | final validation loss: 0.3656733
run076 | epochs: 8 | time (s): 7.55 | final validation loss: 0.3604393
run077 | epochs: 6 | time (s): 5.76 | final validation loss: 0.3559046
run078 | epochs: 5 | time (s): 5.83 | final validation loss: 0.3599357
run079 | epochs: 4 | time (s): 6.13 | final validation loss: 0.3657245
run080 | epochs: 63 | time (s): 58.85 | final validation loss: 0.4027806
run081 | epochs: 50 | time (s): 47.25 | final validation loss: 0.4022343
run082 | epochs: 45 | time (s): 44.10 | final validation loss: 0.4386272
run083 | epochs: 37 | time (s): 70.76 | final validation loss: 0.4151355
run084 | epochs: 17 | time (s): 15.12 | final validation loss: 0.3881385
run085 | epochs: 13 | time (s): 11.46 | final validation loss: 0.3834276
run086 | epochs: 7 | time (s): 6.92 | final validation loss: 0.3676596
run087 | epochs: 5 | time (s): 4.60 | final validation loss: 0.3672281
run088 | epochs: 5 | time (s): 5.50 | final validation loss: 0.3595895
run089 | epochs: 4 | time (s): 5.96 | final validation loss: 0.3575655
run090 | epochs: 70 | time (s): 43.64 | final validation loss: 0.4282378
run091 | epochs: 44 | time (s): 30.49 | final validation loss: 0.4239125
run092 | epochs: 25 | time (s): 19.41 | final validation loss: 0.3769475
run093 | epochs: 26 | time (s): 19.46 | final validation loss: 0.3805076
run094 | epochs: 17 | time (s): 13.84 | final validation loss: 0.3680639
run095 | epochs: 17 | time (s): 14.24 | final validation loss: 0.3603090
run096 | epochs: 13 | time (s): 10.38 | final validation loss: 0.3560525
run097 | epochs: 10 | time (s): 7.87 | final validation loss: 0.3476241
run098 | epochs: 10 | time (s): 9.36 | final validation loss: 0.3607295
run099 | epochs: 9 | time (s): 11.56 | final validation loss: 0.3671622
run100 | epochs: 80 | time (s): 62.76 | final validation loss: 0.4118814
run101 | epochs: 50 | time (s): 39.36 | final validation loss: 0.4074252
run102 | epochs: 31 | time (s): 31.35 | final validation loss: 0.4638630
run103 | epochs: 22 | time (s): 19.22 | final validation loss: 0.3895560
run104 | epochs: 13 | time (s): 12.46 | final validation loss: 0.3714050
run105 | epochs: 10 | time (s): 8.11 | final validation loss: 0.3671813
run106 | epochs: 8 | time (s): 6.59 | final validation loss: 0.3600001
run107 | epochs: 6 | time (s): 5.36 | final validation loss: 0.3654544
run108 | epochs: 5 | time (s): 5.22 | final validation loss: 0.3490180
run109 | epochs: 4 | time (s): 5.62 | final validation loss: 0.3561375
run110 | epochs: 63 | time (s): 56.96 | final validation loss: 0.4368398
run111 | epochs: 50 | time (s): 46.31 | final validation loss: 0.4277338
run112 | epochs: 45 | time (s): 40.16 | final validation loss: 0.5146327
run113 | epochs: 37 | time (s): 34.70 | final validation loss: 0.4057404
run114 | epochs: 17 | time (s): 16.52 | final validation loss: 0.3827018
run115 | epochs: 13 | time (s): 12.01 | final validation loss: 0.3774523
run116 | epochs: 7 | time (s): 6.28 | final validation loss: 0.3622048
run117 | epochs: 5 | time (s): 4.92 | final validation loss: 0.3558556
run118 | epochs: 5 | time (s): 5.82 | final validation loss: 0.3713552
run119 | epochs: 4 | time (s): 6.25 | final validation loss: 0.3623733
run120 | epochs: 70 | time (s): 51.38 | final validation loss: 0.4025004
run121 | epochs: 44 | time (s): 30.92 | final validation loss: 0.3949623
run122 | epochs: 25 | time (s): 18.12 | final validation loss: 0.3796053
run123 | epochs: 26 | time (s): 18.99 | final validation loss: 0.3779899
run124 | epochs: 17 | time (s): 12.07 | final validation loss: 0.3645527
run125 | epochs: 17 | time (s): 12.93 | final validation loss: 0.3612081
run126 | epochs: 13 | time (s): 9.77 | final validation loss: 0.3538009
run127 | epochs: 10 | time (s): 8.46 | final validation loss: 0.3542713
run128 | epochs: 10 | time (s): 9.67 | final validation loss: 0.3516377
run129 | epochs: 9 | time (s): 11.11 | final validation loss: 0.3528114
run130 | epochs: 80 | time (s): 64.20 | final validation loss: 0.4000025
run131 | epochs: 50 | time (s): 42.75 | final validation loss: 0.4034719
run132 | epochs: 31 | time (s): 26.23 | final validation loss: 0.3891891
run133 | epochs: 22 | time (s): 18.66 | final validation loss: 0.3928064
run134 | epochs: 13 | time (s): 10.24 | final validation loss: 0.3721612
run135 | epochs: 10 | time (s): 8.35 | final validation loss: 0.3660498
run136 | epochs: 8 | time (s): 6.64 | final validation loss: 0.3554676
run137 | epochs: 6 | time (s): 5.53 | final validation loss: 0.3531510
run138 | epochs: 5 | time (s): 5.39 | final validation loss: 0.3564430
run139 | epochs: 4 | time (s): 5.92 | final validation loss: 0.3566095
run140 | epochs: 63 | time (s): 60.35 | final validation loss: 0.4252345
run141 | epochs: 50 | time (s): 58.53 | final validation loss: 0.4238034
run142 | epochs: 45 | time (s): 42.70 | final validation loss: 0.4227275
run143 | epochs: 37 | time (s): 33.09 | final validation loss: 0.4183423
run144 | epochs: 17 | time (s): 15.04 | final validation loss: 0.3832126
run145 | epochs: 13 | time (s): 11.37 | final validation loss: 0.3806857
run146 | epochs: 7 | time (s): 6.10 | final validation loss: 0.3655064
run147 | epochs: 5 | time (s): 4.95 | final validation loss: 0.3620276
run148 | epochs: 5 | time (s): 5.55 | final validation loss: 0.3612566
run149 | epochs: 4 | time (s): 6.36 | final validation loss: 0.3683947
