run000 | epochs: 72 | time (s): 39.06 | final validation loss: 0.3870396
run001 | epochs: 46 | time (s): 25.61 | final validation loss: 0.4586621
run002 | epochs: 21 | time (s): 11.56 | final validation loss: 0.3853765
run003 | epochs: 15 | time (s): 8.25 | final validation loss: 0.3772965
run004 | epochs: 12 | time (s): 6.59 | final validation loss: 0.3686755
run005 | epochs: 11 | time (s): 6.29 | final validation loss: 0.3649045
run006 | epochs: 8 | time (s): 4.67 | final validation loss: 0.3589367
run007 | epochs: 7 | time (s): 4.33 | final validation loss: 0.3599823
run008 | epochs: 7 | time (s): 4.85 | final validation loss: 0.3637500
run009 | epochs: 6 | time (s): 5.71 | final validation loss: 0.3650923
run010 | epochs: 49 | time (s): 30.40 | final validation loss: 0.4377693
run011 | epochs: 53 | time (s): 35.94 | final validation loss: 0.4334259
run012 | epochs: 26 | time (s): 16.72 | final validation loss: 0.4504545
run013 | epochs: 19 | time (s): 12.06 | final validation loss: 0.4093228
run014 | epochs: 12 | time (s): 7.72 | final validation loss: 0.3760240
run015 | epochs: 10 | time (s): 6.85 | final validation loss: 0.4342776
run016 | epochs: 6 | time (s): 4.43 | final validation loss: 0.3658032
run017 | epochs: 5 | time (s): 4.00 | final validation loss: 0.3643354
run018 | epochs: 5 | time (s): 5.09 | final validation loss: 0.4871176
run019 | epochs: 4 | time (s): 4.69 | final validation loss: 0.3664402
run020 | epochs: 35 | time (s): 27.83 | final validation loss: 0.4867941
run021 | epochs: 56 | time (s): 45.11 | final validation loss: 0.4091096
run022 | epochs: 33 | time (s): 25.90 | final validation loss: 0.4263347
run023 | epochs: 30 | time (s): 23.88 | final validation loss: 0.4213635
run024 | epochs: 17 | time (s): 13.70 | final validation loss: 0.3934306
run025 | epochs: 12 | time (s): 9.77 | final validation loss: 0.3856341
run026 | epochs: 8 | time (s): 7.98 | final validation loss: 0.4024105
run027 | epochs: 6 | time (s): 6.17 | final validation loss: 0.3763149
run028 | epochs: 3 | time (s): 3.86 | final validation loss: 0.4732531
run029 | epochs: 4 | time (s): 6.96 | final validation loss: 0.3705868
run030 | epochs: 63 | time (s): 45.83 | final validation loss: 0.3908593
run031 | epochs: 29 | time (s): 18.17 | final validation loss: 0.3936700
run032 | epochs: 21 | time (s): 13.68 | final validation loss: 0.3799019
run033 | epochs: 15 | time (s): 10.07 | final validation loss: 0.3687597
run034 | epochs: 12 | time (s): 7.56 | final validation loss: 0.3714717
run035 | epochs: 11 | time (s): 7.30 | final validation loss: 0.3641809
run036 | epochs: 8 | time (s): 5.39 | final validation loss: 0.3628763
run037 | epochs: 7 | time (s): 5.05 | final validation loss: 0.3813936
run038 | epochs: 7 | time (s): 5.89 | final validation loss: 0.3593174
run039 | epochs: 6 | time (s): 6.53 | final validation loss: 0.3612494
run040 | epochs: 49 | time (s): 34.11 | final validation loss: 0.4132991
run041 | epochs: 53 | time (s): 39.67 | final validation loss: 0.4511762
run042 | epochs: 26 | time (s): 18.90 | final validation loss: 0.4001620
run043 | epochs: 19 | time (s): 13.67 | final validation loss: 0.4156591
run044 | epochs: 12 | time (s): 8.65 | final validation loss: 0.3843016
run045 | epochs: 10 | time (s): 7.32 | final validation loss: 0.3743484
run046 | epochs: 6 | time (s): 4.57 | final validation loss: 0.3660019
run047 | epochs: 5 | time (s): 4.05 | final validation loss: 0.3668297
run048 | epochs: 5 | time (s): 4.86 | final validation loss: 0.3704546
run049 | epochs: 4 | time (s): 5.39 | final validation loss: 0.3685993
run050 | epochs: 65 | time (s): 53.03 | final validation loss: 0.3989802
run051 | epochs: 56 | time (s): 46.32 | final validation loss: 0.4288789
run052 | epochs: 41 | time (s): 34.06 | final validation loss: 0.4204297
run053 | epochs: 31 | time (s): 25.78 | final validation loss: 0.4219017
run054 | epochs: 17 | time (s): 15.46 | final validation loss: 0.3951935
run055 | epochs: 12 | time (s): 10.24 | final validation loss: 0.3868950
run056 | epochs: 8 | time (s): 6.96 | final validation loss: 0.4354233
run057 | epochs: 6 | time (s): 5.57 | final validation loss: 0.3760053
run058 | epochs: 3 | time (s): 2.97 | final validation loss: 0.3719062
run059 | epochs: 4 | time (s): 5.91 | final validation loss: 0.3750638
run060 | epochs: 72 | time (s): 45.78 | final validation loss: 0.4084995
run061 | epochs: 34 | time (s): 22.10 | final validation loss: 0.3787047
run062 | epochs: 21 | time (s): 14.55 | final validation loss: 0.3735323
