index,n_layers,n_neurons,mean_loss,std_loss,num_runs,95%_CI,ci95_lower,ci95_upper
0,1-layer,1,0.40142317,0.012947954315991385,10,0.0080252252289547,0.3933979447710453,0.4094483952289547
1,1-layer,128,0.36801996,0.010932328758239133,10,0.0067759275651360015,0.36124403243486397,0.374795887565136
2,1-layer,16,0.36800356,0.0018493603988646613,10,0.001146245450686241,0.36685731454931375,0.36914980545068626
3,1-layer,2,0.40453762,0.024163872711035195,10,0.01497692347202275,0.38956069652797726,0.4195145434720227
4,1-layer,256,0.36358233,0.003922203468587529,10,0.0024310068958404572,0.36115132310415954,0.3660133368958405
5,1-layer,32,0.36650484,0.0029085210816954155,10,0.0018027200431917395,0.36470211995680824,0.36830756004319176
6,1-layer,4,0.38052467,0.006251557655683361,10,0.0038747555787011314,0.37664991442129886,0.38439942557870116
7,1-layer,512,0.36438826,0.0015265746953373818,10,0.0009461807989061754,0.36344207920109384,0.3653344407989062
8,1-layer,64,0.36365265999999996,0.0021504930148947324,10,0.0013328893797925525,0.3623197706202074,0.3649855493797925
9,1-layer,8,0.37500714999999996,0.005394685064898997,10,0.003343660444617324,0.37166348955538264,0.37835081044461727
10,2-layer,1-1,0.44425305000000004,0.06428566197397105,10,0.03984466609496721,0.4044083839050328,0.48409771609496727
11,2-layer,128-64,0.36565339999999996,0.003857318448525267,10,0.0023907907437536536,0.3632626092562463,0.3680441907437536
12,2-layer,16-8,0.38865796,0.015156726761643187,10,0.009394236574165613,0.3792637234258344,0.39805219657416563
13,2-layer,2-1,0.42123708000000004,0.02517857546344596,10,0.015605842753772095,0.40563123724622796,0.4368429227537721
14,2-layer,256-128,0.40410050000000003,0.048483033989427694,10,0.030050095795262473,0.37405040420473756,0.4341505957952625
15,2-layer,32-16,0.38157013,0.021087262546225487,10,0.013070020735750709,0.3685001092642493,0.3946401507357507
16,2-layer,4-2,0.42538749,0.03437179647254258,10,0.021303860168495236,0.40408362983150475,0.4466913501684952
17,2-layer,48-24,0.39017677,0.0062933338515271655,10,0.0039006487331464928,0.3862761212668535,0.3940774187331465
18,2-layer,512-256,0.39688961,0.06002910090554136,10,0.03720642221170302,0.359683187788297,0.434096032211703
19,2-layer,64-32,0.37107869,0.008638998923158486,10,0.005354507006980862,0.3657241829930191,0.37643319700698086
20,2-layer,8-4,0.40022959,0.019798004625744475,10,0.012270930397804788,0.3879586596021952,0.4125005203978048
21,3-layer,1-1-1,0.42387876999999996,0.06197130842432113,10,0.0384102149035205,0.3854685550964795,0.46228898490352044
22,3-layer,128-64-32,0.38462427,0.022598170557618653,10,0.014006491223346325,0.37061777877665364,0.39863076122334634
23,3-layer,16-8-4,0.40297704999999995,0.013060761925813427,10,0.008095144109904397,0.39488190589009553,0.41107219410990437
24,3-layer,2-1-1,0.44727471999999996,0.0566135252569521,10,0.03508942649195383,0.4121852935080461,0.4823641464919538
25,3-layer,256-128-64,0.41149040000000003,0.07994449053799768,10,0.04955010859044308,0.36194029140955697,0.4610405085904431
26,3-layer,32-16-8,0.40385736000000005,0.024241552789933046,10,0.01502507008373795,0.3888322899162621,0.418882430083738
27,3-layer,4-2-1,0.49217608999999996,0.10803807352826496,10,0.06696269172774795,0.425213398272252,0.5591387817277479
28,3-layer,512-256-128,0.41121625999999994,0.09712167661427139,10,0.06019663882197999,0.35101962117801994,0.47141289882197995
29,3-layer,64-32-16,0.41459256,0.03199479091057723,10,0.019830576857502225,0.3947619831424978,0.4344231368575022
30,3-layer,8-4-2,0.44133500999999997,0.030012937573225536,10,0.018602211432752497,0.4227327985672475,0.45993722143275245
