index,n_layers,n_neurons,mean_loss,std_loss,num_runs,95%_CI,ci95_lower,ci95_upper
0,1-layer,1,0.5284925,0.06595298631624735,10,0.040878084428854926,0.4876144155711451,0.5693705844288549
1,1-layer,128,0.36264637,0.002395180147272609,10,0.0014845480356725997,0.3611618219643274,0.3641309180356726
2,1-layer,16,0.39586689,0.01236453645017339,10,0.007663619089365305,0.3882032709106347,0.40353050908936533
3,1-layer,2,0.49720059,0.03135068673897661,10,0.01943135695589815,0.47776923304410185,0.5166319469558982
4,1-layer,256,0.35876545000000004,0.002371152711352764,10,0.0014696556765998714,0.3572957943234002,0.3602351056765999
5,1-layer,32,0.38328967,0.010760213569137221,10,0.006669249465711366,0.3766204205342887,0.3899589194657114
6,1-layer,4,0.45375768,0.03402561742572467,10,0.021089296172325786,0.4326683838276742,0.4748469761723258
7,1-layer,512,0.35464142,0.004115648658420121,10,0.002550905466686286,0.3520905145333137,0.3571923254666863
8,1-layer,64,0.37016309000000003,0.006105173901327011,10,0.003784025987763449,0.3663790640122366,0.3739471159877635
9,1-layer,8,0.42128223,0.02061206564364398,10,0.012775490644104626,0.4085067393558954,0.4340577206441046
10,2-layer,1-1,0.53692463,0.017173405690521046,10,0.01064418712417207,0.526280442875828,0.547568817124172
11,2-layer,128-64,0.35622061,0.003849797020753176,10,0.002386128914522468,0.35383448108547755,0.35860673891452244
12,2-layer,16-8,0.39656367000000003,0.013103645899439164,10,0.008121723872132476,0.38844194612786753,0.40468539387213254
13,2-layer,2-1,0.54335125,0.08021587304975174,10,0.049718313213881996,0.49363293678611797,0.5930695632138819
14,2-layer,256-128,0.35572157,0.0037315826481683616,10,0.002312858887293455,0.35340871111270655,0.3580344288872934
15,2-layer,32-16,0.36949025,0.0037305351562030254,10,0.002312209645046982,0.36717804035495305,0.371802459645047
16,2-layer,4-2,0.4964869,0.052758592719459235,10,0.03270011455117893,0.46378678544882107,0.5291870145511789
17,2-layer,48-24,0.37223238,0.006080061006053579,10,0.0037684608540132065,0.36846391914598675,0.3760008408540132
18,2-layer,512-256,0.35624148,0.005716997909897967,10,0.0035434320156451328,0.3526980479843549,0.3597849120156451
19,2-layer,64-32,0.35850681,0.004050042294278474,10,0.002510242220907046,0.35599656777909294,0.3610170522209071
20,2-layer,8-4,0.43680217,0.020492001458458003,10,0.012701074091147038,0.424101095908853,0.449503244091147
21,3-layer,1-1-1,0.58463654,0.074257220600741,10,0.04602510216313601,0.5386114378368639,0.630661642163136
22,3-layer,128-64-32,0.35962302,0.007295771213030795,10,0.0045219658468507,0.3551010541531493,0.36414498584685073
23,3-layer,16-8-4,0.43052295,0.024960247302694485,10,0.015470521557767406,0.4150524284422326,0.4459934715577674
24,3-layer,2-1-1,0.60641493,0.09505262234326427,10,0.058914225698599165,0.5475007043014009,0.6653291556985992
25,3-layer,256-128-64,0.36445275,0.006719934587024563,10,0.004165058608378757,0.36028769139162126,0.3686178086083787
26,3-layer,32-16-8,0.38728079,0.013439376438448815,10,0.008329811816068393,0.3789509781839316,0.3956106018160684
27,3-layer,4-2-1,0.55139104,0.13099600150503493,10,0.08119216290962805,0.470198877090372,0.6325832029096281
28,3-layer,512-256-128,0.36035175,0.0037116762506237567,10,0.002300520774268507,0.3580512292257315,0.36265227077426854
29,3-layer,64-32-16,0.36585984,0.004547019673783882,10,0.0028182719920115647,0.3630415680079884,0.36867811199201156
30,3-layer,8-4-2,0.48099207,0.03347314631767613,10,0.020746871031923193,0.4602451989680768,0.5017389410319232
