run000.yaml | seed:1 | 1-layer | 1 neurons
run001.yaml | seed:1 | 1-layer | 2 neurons
run002.yaml | seed:1 | 1-layer | 4 neurons
run003.yaml | seed:1 | 1-layer | 8 neurons
run004.yaml | seed:1 | 1-layer | 16 neurons
run005.yaml | seed:1 | 1-layer | 32 neurons
run006.yaml | seed:1 | 1-layer | 64 neurons
run007.yaml | seed:1 | 1-layer | 128 neurons
run008.yaml | seed:1 | 1-layer | 256 neurons
run009.yaml | seed:1 | 1-layer | 512 neurons
run010.yaml | seed:1 | 2-layer | 1-1 neurons
run011.yaml | seed:1 | 2-layer | 2-1 neurons
run012.yaml | seed:1 | 2-layer | 4-2 neurons
run013.yaml | seed:1 | 2-layer | 8-4 neurons
run014.yaml | seed:1 | 2-layer | 16-8 neurons
run015.yaml | seed:1 | 2-layer | 32-16 neurons
run016.yaml | seed:1 | 2-layer | 64-32 neurons
run017.yaml | seed:1 | 2-layer | 128-64 neurons
run018.yaml | seed:1 | 2-layer | 256-128 neurons
run019.yaml | seed:1 | 2-layer | 512-256 neurons
run020.yaml | seed:1 | 3-layer | 1-1-1 neurons
run021.yaml | seed:1 | 3-layer | 2-1-1 neurons
run022.yaml | seed:1 | 3-layer | 4-2-1 neurons
run023.yaml | seed:1 | 3-layer | 8-4-2 neurons
run024.yaml | seed:1 | 3-layer | 16-8-4 neurons
run025.yaml | seed:1 | 3-layer | 32-16-8 neurons
run026.yaml | seed:1 | 3-layer | 64-32-16 neurons
run027.yaml | seed:1 | 3-layer | 128-64-32 neurons
run028.yaml | seed:1 | 3-layer | 256-128-64 neurons
run029.yaml | seed:1 | 3-layer | 512-256-128 neurons
run030.yaml | seed:2 | 1-layer | 1 neurons
run031.yaml | seed:2 | 1-layer | 2 neurons
run032.yaml | seed:2 | 1-layer | 4 neurons
run033.yaml | seed:2 | 1-layer | 8 neurons
run034.yaml | seed:2 | 1-layer | 16 neurons
run035.yaml | seed:2 | 1-layer | 32 neurons
run036.yaml | seed:2 | 1-layer | 64 neurons
run037.yaml | seed:2 | 1-layer | 128 neurons
run038.yaml | seed:2 | 1-layer | 256 neurons
run039.yaml | seed:2 | 1-layer | 512 neurons
run040.yaml | seed:2 | 2-layer | 1-1 neurons
run041.yaml | seed:2 | 2-layer | 2-1 neurons
run042.yaml | seed:2 | 2-layer | 4-2 neurons
run043.yaml | seed:2 | 2-layer | 8-4 neurons
run044.yaml | seed:2 | 2-layer | 16-8 neurons
run045.yaml | seed:2 | 2-layer | 32-16 neurons
run046.yaml | seed:2 | 2-layer | 64-32 neurons
run047.yaml | seed:2 | 2-layer | 128-64 neurons
run048.yaml | seed:2 | 2-layer | 256-128 neurons
run049.yaml | seed:2 | 2-layer | 512-256 neurons
run050.yaml | seed:2 | 3-layer | 1-1-1 neurons
run051.yaml | seed:2 | 3-layer | 2-1-1 neurons
run052.yaml | seed:2 | 3-layer | 4-2-1 neurons
run053.yaml | seed:2 | 3-layer | 8-4-2 neurons
run054.yaml | seed:2 | 3-layer | 16-8-4 neurons
run055.yaml | seed:2 | 3-layer | 32-16-8 neurons
run056.yaml | seed:2 | 3-layer | 64-32-16 neurons
run057.yaml | seed:2 | 3-layer | 128-64-32 neurons
run058.yaml | seed:2 | 3-layer | 256-128-64 neurons
run059.yaml | seed:2 | 3-layer | 512-256-128 neurons
run060.yaml | seed:3 | 1-layer | 1 neurons
run061.yaml | seed:3 | 1-layer | 2 neurons
run062.yaml | seed:3 | 1-layer | 4 neurons
run063.yaml | seed:3 | 1-layer | 8 neurons
run064.yaml | seed:3 | 1-layer | 16 neurons
run065.yaml | seed:3 | 1-layer | 32 neurons
run066.yaml | seed:3 | 1-layer | 64 neurons
run067.yaml | seed:3 | 1-layer | 128 neurons
run068.yaml | seed:3 | 1-layer | 256 neurons
run069.yaml | seed:3 | 1-layer | 512 neurons
run070.yaml | seed:3 | 2-layer | 1-1 neurons
run071.yaml | seed:3 | 2-layer | 2-1 neurons
run072.yaml | seed:3 | 2-layer | 4-2 neurons
run073.yaml | seed:3 | 2-layer | 8-4 neurons
run074.yaml | seed:3 | 2-layer | 16-8 neurons
run075.yaml | seed:3 | 2-layer | 32-16 neurons
run076.yaml | seed:3 | 2-layer | 64-32 neurons
