run000 | epochs: 56 | time (s): 32.65 | final validation loss: 0.3999128
run001 | epochs: 28 | time (s): 18.14 | final validation loss: 0.5118317
run002 | epochs: 18 | time (s): 12.59 | final validation loss: 0.3838122
run003 | epochs: 19 | time (s): 11.77 | final validation loss: 0.3746180
run004 | epochs: 13 | time (s): 8.81 | final validation loss: 0.3662854
run005 | epochs: 12 | time (s): 8.13 | final validation loss: 0.3573030
run006 | epochs: 9 | time (s): 6.54 | final validation loss: 0.3534996
run007 | epochs: 5 | time (s): 3.97 | final validation loss: 0.3573326
run008 | epochs: 6 | time (s): 5.53 | final validation loss: 0.3612438
run009 | epochs: 6 | time (s): 7.52 | final validation loss: 0.3519083
run010 | epochs: 6 | time (s): 4.81 | final validation loss: 0.5629862
run011 | epochs: 6 | time (s): 4.82 | final validation loss: 0.6295151
run012 | epochs: 6 | time (s): 4.67 | final validation loss: 0.4958198
run013 | epochs: 6 | time (s): 4.71 | final validation loss: 0.4584443
run014 | epochs: 6 | time (s): 4.67 | final validation loss: 0.3985379
run015 | epochs: 6 | time (s): 4.95 | final validation loss: 0.3711821
run016 | epochs: 6 | time (s): 5.03 | final validation loss: 0.3655975
run017 | epochs: 6 | time (s): 4.90 | final validation loss: 0.3585846
run018 | epochs: 5 | time (s): 5.59 | final validation loss: 0.3572078
run019 | epochs: 4 | time (s): 5.71 | final validation loss: 0.3481129
run020 | epochs: 6 | time (s): 5.54 | final validation loss: 0.5354606
run021 | epochs: 6 | time (s): 5.69 | final validation loss: 0.5279769
run022 | epochs: 6 | time (s): 5.36 | final validation loss: 0.4499633
run023 | epochs: 6 | time (s): 5.38 | final validation loss: 0.4968641
run024 | epochs: 6 | time (s): 5.39 | final validation loss: 0.4311609
run025 | epochs: 6 | time (s): 5.70 | final validation loss: 0.3795926
run026 | epochs: 6 | time (s): 6.35 | final validation loss: 0.3622288
run027 | epochs: 5 | time (s): 5.13 | final validation loss: 0.3492970
run028 | epochs: 5 | time (s): 5.94 | final validation loss: 0.3605546
run029 | epochs: 4 | time (s): 6.34 | final validation loss: 0.3583042
run030 | epochs: 4 | time (s): 2.43 | final validation loss: 0.5244147
run031 | epochs: 4 | time (s): 2.49 | final validation loss: 0.4597995
run032 | epochs: 4 | time (s): 2.82 | final validation loss: 0.4967744
run033 | epochs: 4 | time (s): 3.01 | final validation loss: 0.4246601
run034 | epochs: 4 | time (s): 3.13 | final validation loss: 0.3963376
run035 | epochs: 4 | time (s): 2.74 | final validation loss: 0.3829657
run036 | epochs: 4 | time (s): 2.87 | final validation loss: 0.3722752
run037 | epochs: 4 | time (s): 3.16 | final validation loss: 0.3641111
run038 | epochs: 4 | time (s): 3.48 | final validation loss: 0.3582267
run039 | epochs: 4 | time (s): 5.08 | final validation loss: 0.3522677
run040 | epochs: 6 | time (s): 5.29 | final validation loss: 0.5338184
run041 | epochs: 6 | time (s): 5.45 | final validation loss: 0.6938846
run042 | epochs: 6 | time (s): 5.04 | final validation loss: 0.4769567
run043 | epochs: 6 | time (s): 5.14 | final validation loss: 0.4335435
run044 | epochs: 6 | time (s): 5.42 | final validation loss: 0.3873389
run045 | epochs: 6 | time (s): 5.37 | final validation loss: 0.3704558
run046 | epochs: 6 | time (s): 5.45 | final validation loss: 0.3554301
run047 | epochs: 6 | time (s): 5.20 | final validation loss: 0.3537484
run048 | epochs: 5 | time (s): 5.32 | final validation loss: 0.3556672
run049 | epochs: 4 | time (s): 6.10 | final validation loss: 0.3635748
run050 | epochs: 6 | time (s): 5.78 | final validation loss: 0.5115478
run051 | epochs: 6 | time (s): 5.73 | final validation loss: 0.5128619
run052 | epochs: 6 | time (s): 5.88 | final validation loss: 0.4849035
run053 | epochs: 6 | time (s): 5.74 | final validation loss: 0.4546449
run054 | epochs: 6 | time (s): 5.70 | final validation loss: 0.4731808
run055 | epochs: 6 | time (s): 5.82 | final validation loss: 0.3800764
run056 | epochs: 6 | time (s): 6.51 | final validation loss: 0.3620793
run057 | epochs: 5 | time (s): 5.41 | final validation loss: 0.3552309
run058 | epochs: 5 | time (s): 6.17 | final validation loss: 0.3806820
run059 | epochs: 4 | time (s): 6.53 | final validation loss: 0.3580083
