run000.yaml: Model A | lr=0.0001 | dropout=0 | weight_decay=0
run001.yaml: Model A | lr=0.0001 | dropout=0 | weight_decay=0.1
run002.yaml: Model A | lr=0.0001 | dropout=0 | weight_decay=0.05
run003.yaml: Model A | lr=0.0001 | dropout=0 | weight_decay=0.01
run004.yaml: Model A | lr=0.0001 | dropout=0 | weight_decay=0.005
run005.yaml: Model A | lr=0.0001 | dropout=0 | weight_decay=0.001
run006.yaml: Model A | lr=0.0005 | dropout=0 | weight_decay=0
run007.yaml: Model A | lr=0.0005 | dropout=0 | weight_decay=0.1
run008.yaml: Model A | lr=0.0005 | dropout=0 | weight_decay=0.05
run009.yaml: Model A | lr=0.0005 | dropout=0 | weight_decay=0.01
run010.yaml: Model A | lr=0.0005 | dropout=0 | weight_decay=0.005
run011.yaml: Model A | lr=0.0005 | dropout=0 | weight_decay=0.001
run012.yaml: Model A | lr=0.001 | dropout=0 | weight_decay=0
run013.yaml: Model A | lr=0.001 | dropout=0 | weight_decay=0.1
run014.yaml: Model A | lr=0.001 | dropout=0 | weight_decay=0.05
run015.yaml: Model A | lr=0.001 | dropout=0 | weight_decay=0.01
run016.yaml: Model A | lr=0.001 | dropout=0 | weight_decay=0.005
run017.yaml: Model A | lr=0.001 | dropout=0 | weight_decay=0.001
run018.yaml: Model B | lr=0.0001 | dropout=0 | weight_decay=0
run019.yaml: Model B | lr=0.0001 | dropout=0 | weight_decay=0.1
run020.yaml: Model B | lr=0.0001 | dropout=0 | weight_decay=0.05
run021.yaml: Model B | lr=0.0001 | dropout=0 | weight_decay=0.01
run022.yaml: Model B | lr=0.0001 | dropout=0 | weight_decay=0.005
run023.yaml: Model B | lr=0.0001 | dropout=0 | weight_decay=0.001
run024.yaml: Model B | lr=0.0005 | dropout=0 | weight_decay=0
run025.yaml: Model B | lr=0.0005 | dropout=0 | weight_decay=0.1
run026.yaml: Model B | lr=0.0005 | dropout=0 | weight_decay=0.05
run027.yaml: Model B | lr=0.0005 | dropout=0 | weight_decay=0.01
run028.yaml: Model B | lr=0.0005 | dropout=0 | weight_decay=0.005
run029.yaml: Model B | lr=0.0005 | dropout=0 | weight_decay=0.001
run030.yaml: Model B | lr=0.001 | dropout=0 | weight_decay=0
run031.yaml: Model B | lr=0.001 | dropout=0 | weight_decay=0.1
run032.yaml: Model B | lr=0.001 | dropout=0 | weight_decay=0.05
run033.yaml: Model B | lr=0.001 | dropout=0 | weight_decay=0.01
run034.yaml: Model B | lr=0.001 | dropout=0 | weight_decay=0.005
run035.yaml: Model B | lr=0.001 | dropout=0 | weight_decay=0.001
run036.yaml: Model C | lr=0.0001 | dropout=0 | weight_decay=0
run037.yaml: Model C | lr=0.0001 | dropout=0 | weight_decay=0.1
run038.yaml: Model C | lr=0.0001 | dropout=0 | weight_decay=0.05
run039.yaml: Model C | lr=0.0001 | dropout=0 | weight_decay=0.01
run040.yaml: Model C | lr=0.0001 | dropout=0 | weight_decay=0.005
run041.yaml: Model C | lr=0.0001 | dropout=0 | weight_decay=0.001
run042.yaml: Model C | lr=0.0005 | dropout=0 | weight_decay=0
run043.yaml: Model C | lr=0.0005 | dropout=0 | weight_decay=0.1
run044.yaml: Model C | lr=0.0005 | dropout=0 | weight_decay=0.05
run045.yaml: Model C | lr=0.0005 | dropout=0 | weight_decay=0.01
run046.yaml: Model C | lr=0.0005 | dropout=0 | weight_decay=0.005
run047.yaml: Model C | lr=0.0005 | dropout=0 | weight_decay=0.001
run048.yaml: Model C | lr=0.001 | dropout=0 | weight_decay=0
run049.yaml: Model C | lr=0.001 | dropout=0 | weight_decay=0.1
run050.yaml: Model C | lr=0.001 | dropout=0 | weight_decay=0.05
run051.yaml: Model C | lr=0.001 | dropout=0 | weight_decay=0.01
run052.yaml: Model C | lr=0.001 | dropout=0 | weight_decay=0.005
run053.yaml: Model C | lr=0.001 | dropout=0 | weight_decay=0.001
run054.yaml: Model A | lr=0.0001 | dropout=0 | weight_decay=0
run055.yaml: Model A | lr=0.0001 | dropout=0.65 | weight_decay=0
run056.yaml: Model A | lr=0.0001 | dropout=0.75 | weight_decay=0
run057.yaml: Model A | lr=0.0001 | dropout=0.85 | weight_decay=0
run058.yaml: Model A | lr=0.0001 | dropout=0.95 | weight_decay=0
run059.yaml: Model A | lr=0.0005 | dropout=0 | weight_decay=0
run060.yaml: Model A | lr=0.0005 | dropout=0.65 | weight_decay=0
run061.yaml: Model A | lr=0.0005 | dropout=0.75 | weight_decay=0
run062.yaml: Model A | lr=0.0005 | dropout=0.85 | weight_decay=0
run063.yaml: Model A | lr=0.0005 | dropout=0.95 | weight_decay=0
run064.yaml: Model A | lr=0.001 | dropout=0 | weight_decay=0
run065.yaml: Model A | lr=0.001 | dropout=0.65 | weight_decay=0
run066.yaml: Model A | lr=0.001 | dropout=0.75 | weight_decay=0
run067.yaml: Model A | lr=0.001 | dropout=0.85 | weight_decay=0
run068.yaml: Model A | lr=0.001 | dropout=0.95 | weight_decay=0
run069.yaml: Model B | lr=0.0001 | dropout=0 | weight_decay=0
run070.yaml: Model B | lr=0.0001 | dropout=0.65 | weight_decay=0
run071.yaml: Model B | lr=0.0001 | dropout=0.75 | weight_decay=0
run072.yaml: Model B | lr=0.0001 | dropout=0.85 | weight_decay=0
run073.yaml: Model B | lr=0.0001 | dropout=0.95 | weight_decay=0
run074.yaml: Model B | lr=0.0005 | dropout=0 | weight_decay=0
run075.yaml: Model B | lr=0.0005 | dropout=0.65 | weight_decay=0
run076.yaml: Model B | lr=0.0005 | dropout=0.75 | weight_decay=0
run077.yaml: Model B | lr=0.0005 | dropout=0.85 | weight_decay=0
run078.yaml: Model B | lr=0.0005 | dropout=0.95 | weight_decay=0
run079.yaml: Model B | lr=0.001 | dropout=0 | weight_decay=0
run080.yaml: Model B | lr=0.001 | dropout=0.65 | weight_decay=0
run081.yaml: Model B | lr=0.001 | dropout=0.75 | weight_decay=0
run082.yaml: Model B | lr=0.001 | dropout=0.85 | weight_decay=0
run083.yaml: Model B | lr=0.001 | dropout=0.95 | weight_decay=0
run084.yaml: Model C | lr=0.0001 | dropout=0 | weight_decay=0
