run000 | epochs: 61 | time (s): 56.72 | final validation loss: 0.3997147
run001 | epochs: 71 | time (s): 61.07 | final validation loss: 0.4432207
run002 | epochs: 33 | time (s): 29.81 | final validation loss: 0.3871425
run003 | epochs: 28 | time (s): 24.67 | final validation loss: 0.3771481
run004 | epochs: 26 | time (s): 22.59 | final validation loss: 0.3824600
run005 | epochs: 25 | time (s): 21.66 | final validation loss: 0.3704351
run006 | epochs: 24 | time (s): 21.52 | final validation loss: 0.3755353
run007 | epochs: 19 | time (s): 17.02 | final validation loss: 0.3673537
run008 | epochs: 18 | time (s): 16.18 | final validation loss: 0.3723561
run009 | epochs: 18 | time (s): 15.63 | final validation loss: 0.3792797
run010 | epochs: 103 | time (s): 95.97 | final validation loss: 0.4194183
run011 | epochs: 75 | time (s): 70.15 | final validation loss: 0.4301669
run012 | epochs: 45 | time (s): 42.32 | final validation loss: 0.4392435
run013 | epochs: 28 | time (s): 25.84 | final validation loss: 0.3928810
run014 | epochs: 25 | time (s): 23.74 | final validation loss: 0.3927766
run015 | epochs: 19 | time (s): 18.03 | final validation loss: 0.3982244
run016 | epochs: 17 | time (s): 16.25 | final validation loss: 0.4196296
run017 | epochs: 15 | time (s): 14.33 | final validation loss: 0.3906867
run018 | epochs: 14 | time (s): 13.31 | final validation loss: 0.4236676
run019 | epochs: 14 | time (s): 13.26 | final validation loss: 0.4025753
run020 | epochs: 48 | time (s): 48.13 | final validation loss: 0.4244520
run021 | epochs: 51 | time (s): 51.76 | final validation loss: 0.4082605
run022 | epochs: 38 | time (s): 38.56 | final validation loss: 0.4093308
run023 | epochs: 29 | time (s): 29.00 | final validation loss: 0.3946360
run024 | epochs: 24 | time (s): 24.13 | final validation loss: 0.4111358
run025 | epochs: 20 | time (s): 20.56 | final validation loss: 0.4115568
run026 | epochs: 17 | time (s): 17.19 | final validation loss: 0.4273637
run027 | epochs: 15 | time (s): 15.07 | final validation loss: 0.4260392
run028 | epochs: 14 | time (s): 14.16 | final validation loss: 0.4285386
run029 | epochs: 13 | time (s): 13.25 | final validation loss: 0.3930990
run030 | epochs: 67 | time (s): 57.83 | final validation loss: 0.3977812
run031 | epochs: 35 | time (s): 30.17 | final validation loss: 0.3960237
run032 | epochs: 35 | time (s): 29.79 | final validation loss: 0.3886010
run033 | epochs: 28 | time (s): 24.31 | final validation loss: 0.3814698
run034 | epochs: 27 | time (s): 23.27 | final validation loss: 0.3743046
run035 | epochs: 24 | time (s): 21.27 | final validation loss: 0.3769594
run036 | epochs: 20 | time (s): 17.45 | final validation loss: 0.3718884
run037 | epochs: 19 | time (s): 16.89 | final validation loss: 0.3644501
run038 | epochs: 17 | time (s): 14.96 | final validation loss: 0.3739019
run039 | epochs: 18 | time (s): 16.11 | final validation loss: 0.3753380
run040 | epochs: 61 | time (s): 56.95 | final validation loss: 0.4265136
run041 | epochs: 80 | time (s): 75.08 | final validation loss: 0.4357685
run042 | epochs: 49 | time (s): 46.86 | final validation loss: 0.4081008
run043 | epochs: 27 | time (s): 26.04 | final validation loss: 0.3930585
run044 | epochs: 21 | time (s): 19.61 | final validation loss: 0.3986687
run045 | epochs: 18 | time (s): 17.33 | final validation loss: 0.4030402
run046 | epochs: 17 | time (s): 16.13 | final validation loss: 0.4080817
run047 | epochs: 17 | time (s): 16.62 | final validation loss: 0.4102947
run048 | epochs: 14 | time (s): 13.38 | final validation loss: 0.3984002
run049 | epochs: 13 | time (s): 12.13 | final validation loss: 0.4125130
run050 | epochs: 80 | time (s): 80.09 | final validation loss: 0.4273422
run051 | epochs: 48 | time (s): 48.67 | final validation loss: 0.4315698
run052 | epochs: 41 | time (s): 41.75 | final validation loss: 0.4268902
run053 | epochs: 25 | time (s): 24.76 | final validation loss: 0.4105035
