run000.yaml | seed:1 | 1-layer | 512 neurons
run001.yaml | seed:1 | 1-layer | 1024 neurons
run002.yaml | seed:1 | 1-layer | 2048 neurons
run003.yaml | seed:1 | 1-layer | 4096 neurons
run004.yaml | seed:1 | 1-layer | 8192 neurons
run005.yaml | seed:1 | 1-layer | 16384 neurons
run006.yaml | seed:2 | 1-layer | 512 neurons
run007.yaml | seed:2 | 1-layer | 1024 neurons
run008.yaml | seed:2 | 1-layer | 2048 neurons
run009.yaml | seed:2 | 1-layer | 4096 neurons
run010.yaml | seed:2 | 1-layer | 8192 neurons
run011.yaml | seed:2 | 1-layer | 16384 neurons
run012.yaml | seed:3 | 1-layer | 512 neurons
run013.yaml | seed:3 | 1-layer | 1024 neurons
run014.yaml | seed:3 | 1-layer | 2048 neurons
run015.yaml | seed:3 | 1-layer | 4096 neurons
run016.yaml | seed:3 | 1-layer | 8192 neurons
run017.yaml | seed:3 | 1-layer | 16384 neurons
run018.yaml | seed:4 | 1-layer | 512 neurons
run019.yaml | seed:4 | 1-layer | 1024 neurons
run020.yaml | seed:4 | 1-layer | 2048 neurons
run021.yaml | seed:4 | 1-layer | 4096 neurons
run022.yaml | seed:4 | 1-layer | 8192 neurons
run023.yaml | seed:4 | 1-layer | 16384 neurons
run024.yaml | seed:5 | 1-layer | 512 neurons
run025.yaml | seed:5 | 1-layer | 1024 neurons
run026.yaml | seed:5 | 1-layer | 2048 neurons
run027.yaml | seed:5 | 1-layer | 4096 neurons
run028.yaml | seed:5 | 1-layer | 8192 neurons
run029.yaml | seed:5 | 1-layer | 16384 neurons
run030.yaml | seed:6 | 1-layer | 512 neurons
run031.yaml | seed:6 | 1-layer | 1024 neurons
run032.yaml | seed:6 | 1-layer | 2048 neurons
run033.yaml | seed:6 | 1-layer | 4096 neurons
run034.yaml | seed:6 | 1-layer | 8192 neurons
run035.yaml | seed:6 | 1-layer | 16384 neurons
run036.yaml | seed:7 | 1-layer | 512 neurons
run037.yaml | seed:7 | 1-layer | 1024 neurons
run038.yaml | seed:7 | 1-layer | 2048 neurons
run039.yaml | seed:7 | 1-layer | 4096 neurons
run040.yaml | seed:7 | 1-layer | 8192 neurons
run041.yaml | seed:7 | 1-layer | 16384 neurons
run042.yaml | seed:8 | 1-layer | 512 neurons
run043.yaml | seed:8 | 1-layer | 1024 neurons
run044.yaml | seed:8 | 1-layer | 2048 neurons
run045.yaml | seed:8 | 1-layer | 4096 neurons
run046.yaml | seed:8 | 1-layer | 8192 neurons
run047.yaml | seed:8 | 1-layer | 16384 neurons
run048.yaml | seed:9 | 1-layer | 512 neurons
run049.yaml | seed:9 | 1-layer | 1024 neurons
run050.yaml | seed:9 | 1-layer | 2048 neurons
run051.yaml | seed:9 | 1-layer | 4096 neurons
run052.yaml | seed:9 | 1-layer | 8192 neurons
run053.yaml | seed:9 | 1-layer | 16384 neurons
run054.yaml | seed:10 | 1-layer | 512 neurons
run055.yaml | seed:10 | 1-layer | 1024 neurons
run056.yaml | seed:10 | 1-layer | 2048 neurons
run057.yaml | seed:10 | 1-layer | 4096 neurons
run058.yaml | seed:10 | 1-layer | 8192 neurons
run059.yaml | seed:10 | 1-layer | 16384 neurons
