run000 | epochs: 18 | time (s): 15.13 | final validation loss: 0.3792797
run001 | epochs: 13 | time (s): 10.25 | final validation loss: 0.3812191
run002 | epochs: 14 | time (s): 11.89 | final validation loss: 0.3844862
run003 | epochs: 14 | time (s): 13.10 | final validation loss: 0.4093919
run004 | epochs: 14 | time (s): 16.73 | final validation loss: 0.4215660
run005 | epochs: 12 | time (s): 19.18 | final validation loss: 0.4053896
run006 | epochs: 18 | time (s): 14.39 | final validation loss: 0.3753380
run007 | epochs: 16 | time (s): 13.01 | final validation loss: 0.3865069
run008 | epochs: 13 | time (s): 10.78 | final validation loss: 0.3796353
run009 | epochs: 13 | time (s): 11.93 | final validation loss: 0.3846969
run010 | epochs: 13 | time (s): 14.34 | final validation loss: 0.4326369
run011 | epochs: 16 | time (s): 26.84 | final validation loss: 0.4408138
run012 | epochs: 18 | time (s): 15.42 | final validation loss: 0.3694038
run013 | epochs: 17 | time (s): 13.84 | final validation loss: 0.3767909
run014 | epochs: 16 | time (s): 13.59 | final validation loss: 0.3912702
run015 | epochs: 15 | time (s): 13.86 | final validation loss: 0.3974005
run016 | epochs: 14 | time (s): 15.57 | final validation loss: 0.3927612
run017 | epochs: 13 | time (s): 20.05 | final validation loss: 0.4955597
run018 | epochs: 16 | time (s): 13.29 | final validation loss: 0.3729849
run019 | epochs: 16 | time (s): 13.44 | final validation loss: 0.3729353
run020 | epochs: 15 | time (s): 12.73 | final validation loss: 0.4259469
run021 | epochs: 16 | time (s): 14.92 | final validation loss: 0.3720618
run022 | epochs: 15 | time (s): 17.73 | final validation loss: 0.5374976
run023 | epochs: 13 | time (s): 20.38 | final validation loss: 0.4733478
run024 | epochs: 16 | time (s): 13.22 | final validation loss: 0.3717564
run025 | epochs: 15 | time (s): 12.60 | final validation loss: 0.3824818
run026 | epochs: 13 | time (s): 11.16 | final validation loss: 0.3712769
run027 | epochs: 15 | time (s): 14.65 | final validation loss: 0.3984472
run028 | epochs: 13 | time (s): 14.83 | final validation loss: 0.4160450
run029 | epochs: 13 | time (s): 21.15 | final validation loss: 0.3976732
run030 | epochs: 15 | time (s): 12.53 | final validation loss: 0.3608131
run031 | epochs: 15 | time (s): 12.37 | final validation loss: 0.3791202
run032 | epochs: 15 | time (s): 13.08 | final validation loss: 0.3985396
run033 | epochs: 13 | time (s): 11.91 | final validation loss: 0.3940015
run034 | epochs: 14 | time (s): 16.66 | final validation loss: 0.4230352
run035 | epochs: 13 | time (s): 20.88 | final validation loss: 0.4192216
run036 | epochs: 17 | time (s): 13.95 | final validation loss: 0.3685720
run037 | epochs: 16 | time (s): 13.10 | final validation loss: 0.4001347
run038 | epochs: 15 | time (s): 12.54 | final validation loss: 0.3942879
run039 | epochs: 15 | time (s): 14.27 | final validation loss: 0.3898960
run040 | epochs: 15 | time (s): 17.04 | final validation loss: 0.4122299
run041 | epochs: 13 | time (s): 21.10 | final validation loss: 0.4562598
run042 | epochs: 16 | time (s): 13.33 | final validation loss: 0.3812864
run043 | epochs: 14 | time (s): 11.71 | final validation loss: 0.3802023
run044 | epochs: 17 | time (s): 14.72 | final validation loss: 0.4755063
run045 | epochs: 14 | time (s): 13.28 | final validation loss: 0.4525762
run046 | epochs: 15 | time (s): 17.64 | final validation loss: 0.3941769
run047 | epochs: 16 | time (s): 25.95 | final validation loss: 0.3961542
run048 | epochs: 16 | time (s): 13.24 | final validation loss: 0.4003872
run049 | epochs: 14 | time (s): 11.60 | final validation loss: 0.3910896
run050 | epochs: 15 | time (s): 12.71 | final validation loss: 0.3975222
run051 | epochs: 13 | time (s): 11.91 | final validation loss: 0.3794919
run052 | epochs: 13 | time (s): 14.34 | final validation loss: 0.3877976
run053 | epochs: 13 | time (s): 20.21 | final validation loss: 0.3855261
run054 | epochs: 16 | time (s): 13.01 | final validation loss: 0.3707397
run055 | epochs: 14 | time (s): 12.12 | final validation loss: 0.3929668
run056 | epochs: 15 | time (s): 12.66 | final validation loss: 0.3780992
run057 | epochs: 14 | time (s): 12.84 | final validation loss: 0.3851666
run058 | epochs: 14 | time (s): 15.78 | final validation loss: 0.3866463
run059 | epochs: 13 | time (s): 20.15 | final validation loss: 0.4134278
