run000.yaml | seed:1 | 1-layer | 1 neurons
run001.yaml | seed:1 | 1-layer | 2 neurons
run002.yaml | seed:1 | 1-layer | 4 neurons
run003.yaml | seed:1 | 1-layer | 8 neurons
run004.yaml | seed:1 | 1-layer | 16 neurons
run005.yaml | seed:1 | 1-layer | 32 neurons
run006.yaml | seed:1 | 1-layer | 64 neurons
run007.yaml | seed:1 | 1-layer | 128 neurons
run008.yaml | seed:1 | 1-layer | 256 neurons
run009.yaml | seed:1 | 1-layer | 512 neurons
run010.yaml | seed:1 | 2-layer | 1-1 neurons
run011.yaml | seed:1 | 2-layer | 2-1 neurons
run012.yaml | seed:1 | 2-layer | 4-2 neurons
run013.yaml | seed:1 | 2-layer | 8-4 neurons
run014.yaml | seed:1 | 2-layer | 16-8 neurons
run015.yaml | seed:1 | 2-layer | 32-16 neurons
run016.yaml | seed:1 | 2-layer | 64-32 neurons
run017.yaml | seed:1 | 2-layer | 128-64 neurons
run018.yaml | seed:1 | 2-layer | 256-128 neurons
run019.yaml | seed:1 | 2-layer | 512-256 neurons
run020.yaml | seed:1 | 3-layer | 1-1-1 neurons
run021.yaml | seed:1 | 3-layer | 2-1-1 neurons
run022.yaml | seed:1 | 3-layer | 4-2-1 neurons
run023.yaml | seed:1 | 3-layer | 8-4-2 neurons
run024.yaml | seed:1 | 3-layer | 16-8-4 neurons
run025.yaml | seed:1 | 3-layer | 32-16-8 neurons
run026.yaml | seed:1 | 3-layer | 64-32-16 neurons
run027.yaml | seed:1 | 3-layer | 128-64-32 neurons
run028.yaml | seed:1 | 3-layer | 256-128-64 neurons
run029.yaml | seed:1 | 3-layer | 512-256-128 neurons
