run000 | epochs: 301 | time (s): 265.59 | final validation loss: 0.4883030
run001 | epochs: 301 | time (s): 264.96 | final validation loss: 0.4500167
run002 | epochs: 301 | time (s): 264.10 | final validation loss: 0.4665563
run003 | epochs: 301 | time (s): 267.18 | final validation loss: 0.4822933
run004 | epochs: 301 | time (s): 264.50 | final validation loss: 0.4846862
run005 | epochs: 301 | time (s): 265.22 | final validation loss: 0.4894329
run006 | epochs: 301 | time (s): 266.23 | final validation loss: 0.4692716
run007 | epochs: 301 | time (s): 264.79 | final validation loss: 0.4334490
run008 | epochs: 301 | time (s): 266.90 | final validation loss: 0.4494297
run009 | epochs: 301 | time (s): 267.80 | final validation loss: 0.4692480
run010 | epochs: 301 | time (s): 267.95 | final validation loss: 0.4742869
run011 | epochs: 301 | time (s): 267.11 | final validation loss: 0.4821089
run012 | epochs: 301 | time (s): 266.12 | final validation loss: 0.4801744
run013 | epochs: 301 | time (s): 268.56 | final validation loss: 0.4340554
run014 | epochs: 301 | time (s): 267.08 | final validation loss: 0.4460320
run015 | epochs: 301 | time (s): 268.03 | final validation loss: 0.4620758
run016 | epochs: 301 | time (s): 269.22 | final validation loss: 0.4699020
run017 | epochs: 301 | time (s): 270.07 | final validation loss: 0.4655090
run018 | epochs: 301 | time (s): 291.34 | final validation loss: 0.4665590
run019 | epochs: 301 | time (s): 292.76 | final validation loss: 0.4713288
run020 | epochs: 301 | time (s): 292.89 | final validation loss: 0.4605706
run021 | epochs: 301 | time (s): 293.22 | final validation loss: 0.4589794
run022 | epochs: 301 | time (s): 294.41 | final validation loss: 0.4731229
run023 | epochs: 301 | time (s): 293.23 | final validation loss: 0.4714895
run024 | epochs: 301 | time (s): 290.25 | final validation loss: 0.4882367
run025 | epochs: 301 | time (s): 290.15 | final validation loss: 0.4511560
run026 | epochs: 301 | time (s): 292.47 | final validation loss: 0.4789872
run027 | epochs: 301 | time (s): 290.75 | final validation loss: 0.5000412
run028 | epochs: 301 | time (s): 291.85 | final validation loss: 0.4985760
run029 | epochs: 301 | time (s): 292.33 | final validation loss: 0.4706979
run030 | epochs: 301 | time (s): 289.59 | final validation loss: 0.4967817
run031 | epochs: 301 | time (s): 291.90 | final validation loss: 0.4694204
run032 | epochs: 301 | time (s): 294.61 | final validation loss: 0.4883752
run033 | epochs: 301 | time (s): 291.24 | final validation loss: 0.4789681
run034 | epochs: 301 | time (s): 268.79 | final validation loss: 0.5022967
run035 | epochs: 301 | time (s): 269.83 | final validation loss: 0.4983720
run036 | epochs: 301 | time (s): 294.50 | final validation loss: 0.4235008
run037 | epochs: 301 | time (s): 295.44 | final validation loss: 0.4202824
run038 | epochs: 301 | time (s): 298.23 | final validation loss: 0.4165366
run039 | epochs: 301 | time (s): 292.02 | final validation loss: 0.4187670
run040 | epochs: 301 | time (s): 297.48 | final validation loss: 0.4155237
run041 | epochs: 301 | time (s): 292.32 | final validation loss: 0.4188553
run042 | epochs: 301 | time (s): 295.11 | final validation loss: 0.4768088
run043 | epochs: 301 | time (s): 296.82 | final validation loss: 0.4302813
run044 | epochs: 301 | time (s): 298.27 | final validation loss: 0.4414372
run045 | epochs: 301 | time (s): 294.92 | final validation loss: 0.4672873
run046 | epochs: 301 | time (s): 296.11 | final validation loss: 0.4679108
run047 | epochs: 301 | time (s): 295.96 | final validation loss: 0.4820815
run048 | epochs: 301 | time (s): 295.08 | final validation loss: 0.4636696
run049 | epochs: 301 | time (s): 299.58 | final validation loss: 0.4273575
run050 | epochs: 301 | time (s): 298.75 | final validation loss: 0.4456397
run051 | epochs: 301 | time (s): 293.38 | final validation loss: 0.4552829
run052 | epochs: 301 | time (s): 299.13 | final validation loss: 0.4730325
run053 | epochs: 301 | time (s): 296.83 | final validation loss: 0.4808314
run054 | epochs: 301 | time (s): 247.08 | final validation loss: 0.4883030
run055 | epochs: 301 | time (s): 247.56 | final validation loss: 0.3928582
run056 | epochs: 301 | time (s): 245.66 | final validation loss: 0.3836465
run057 | epochs: 301 | time (s): 250.24 | final validation loss: 0.3838188
run058 | epochs: 301 | time (s): 248.00 | final validation loss: 0.4000786
run059 | epochs: 301 | time (s): 244.18 | final validation loss: 0.4692716
run060 | epochs: 301 | time (s): 248.97 | final validation loss: 0.3980823
run061 | epochs: 301 | time (s): 248.01 | final validation loss: 0.3853128
run062 | epochs: 301 | time (s): 249.89 | final validation loss: 0.3829238
run063 | epochs: 301 | time (s): 246.15 | final validation loss: 0.4009662
run064 | epochs: 301 | time (s): 246.00 | final validation loss: 0.4801744
run065 | epochs: 301 | time (s): 248.42 | final validation loss: 0.4054845
run066 | epochs: 301 | time (s): 249.79 | final validation loss: 0.3830978
run067 | epochs: 301 | time (s): 249.38 | final validation loss: 0.3825638
run068 | epochs: 301 | time (s): 247.41 | final validation loss: 0.4022631
run069 | epochs: 301 | time (s): 268.77 | final validation loss: 0.4665590
run070 | epochs: 301 | time (s): 274.14 | final validation loss: 0.4041906
run071 | epochs: 301 | time (s): 274.85 | final validation loss: 0.3822749
run072 | epochs: 301 | time (s): 272.76 | final validation loss: 0.3740217
run073 | epochs: 301 | time (s): 274.07 | final validation loss: 0.4515367
run074 | epochs: 301 | time (s): 268.27 | final validation loss: 0.4882367
run075 | epochs: 301 | time (s): 275.04 | final validation loss: 0.4021855
run076 | epochs: 301 | time (s): 274.84 | final validation loss: 0.3839641
run077 | epochs: 301 | time (s): 274.12 | final validation loss: 0.3701003
run078 | epochs: 301 | time (s): 272.96 | final validation loss: 0.4520064
run079 | epochs: 301 | time (s): 268.67 | final validation loss: 0.4967817
run080 | epochs: 301 | time (s): 273.58 | final validation loss: 0.4024435
run081 | epochs: 301 | time (s): 273.31 | final validation loss: 0.3801725
run082 | epochs: 301 | time (s): 273.86 | final validation loss: 0.3706848
run082_no_label_smoothing | epochs: 301 | time (s): 273.22 | final validation loss: 0.3834224
run083 | epochs: 301 | time (s): 276.00 | final validation loss: 0.4571598
run084 | epochs: 301 | time (s): 293.76 | final validation loss: 0.4235008
run085 | epochs: 301 | time (s): 306.08 | final validation loss: 0.4316079
run086 | epochs: 301 | time (s): 302.56 | final validation loss: 0.4174643
run087 | epochs: 301 | time (s): 303.95 | final validation loss: 0.3675302
run088 | epochs: 301 | time (s): 304.47 | final validation loss: 0.4511802
run089 | epochs: 301 | time (s): 293.78 | final validation loss: 0.4768088
run090 | epochs: 301 | time (s): 302.55 | final validation loss: 0.4364198
run091 | epochs: 301 | time (s): 304.59 | final validation loss: 0.4146681
run092 | epochs: 301 | time (s): 302.48 | final validation loss: 0.3792088
run093 | epochs: 301 | time (s): 304.34 | final validation loss: 0.4220397
run094 | epochs: 301 | time (s): 297.74 | final validation loss: 0.4636696
run095 | epochs: 301 | time (s): 305.75 | final validation loss: 0.4311693
run096 | epochs: 301 | time (s): 303.61 | final validation loss: 0.4164857
run097 | epochs: 301 | time (s): 303.42 | final validation loss: 0.3799715
run098 | epochs: 301 | time (s): 304.10 | final validation loss: 0.4192178
run099 | epochs: 301 | time (s): 248.33 | final validation loss: 0.3973879
run100 | epochs: 301 | time (s): 250.30 | final validation loss: 0.3981163
run101 | epochs: 301 | time (s): 247.65 | final validation loss: 0.4001740
run102 | epochs: 301 | time (s): 250.03 | final validation loss: 0.4008474
run103 | epochs: 301 | time (s): 249.11 | final validation loss: 0.3937215
run104 | epochs: 301 | time (s): 244.97 | final validation loss: 0.3897008
run105 | epochs: 301 | time (s): 242.81 | final validation loss: 0.3917803
run106 | epochs: 301 | time (s): 246.18 | final validation loss: 0.3928582
run107 | epochs: 301 | time (s): 246.31 | final validation loss: 0.3847692
run108 | epochs: 301 | time (s): 243.64 | final validation loss: 0.3835748
run109 | epochs: 301 | time (s): 248.24 | final validation loss: 0.3839477
run110 | epochs: 301 | time (s): 252.52 | final validation loss: 0.3836465
run111 | epochs: 301 | time (s): 254.40 | final validation loss: 0.3831370
run112 | epochs: 301 | time (s): 250.53 | final validation loss: 0.3834761
run113 | epochs: 301 | time (s): 245.22 | final validation loss: 0.3838653
run114 | epochs: 301 | time (s): 255.82 | final validation loss: 0.3838188
run115 | epochs: 301 | time (s): 260.04 | final validation loss: 0.3995683
run116 | epochs: 301 | time (s): 248.04 | final validation loss: 0.3999479
run117 | epochs: 301 | time (s): 254.72 | final validation loss: 0.3999208
run118 | epochs: 301 | time (s): 257.02 | final validation loss: 0.4000786
run119 | epochs: 301 | time (s): 260.16 | final validation loss: 0.4169355
run120 | epochs: 301 | time (s): 254.13 | final validation loss: 0.4084895
run121 | epochs: 301 | time (s): 252.10 | final validation loss: 0.4140137
run122 | epochs: 301 | time (s): 269.96 | final validation loss: 0.4174905
run123 | epochs: 301 | time (s): 275.97 | final validation loss: 0.4006748
run124 | epochs: 301 | time (s): 275.95 | final validation loss: 0.3943915
run125 | epochs: 301 | time (s): 283.79 | final validation loss: 0.4018564
run126 | epochs: 301 | time (s): 297.59 | final validation loss: 0.4008412
run127 | epochs: 301 | time (s): 296.64 | final validation loss: 0.3867703
run128 | epochs: 301 | time (s): 298.36 | final validation loss: 0.3828250
run129 | epochs: 301 | time (s): 296.47 | final validation loss: 0.3867476
run130 | epochs: 301 | time (s): 294.72 | final validation loss: 0.3863869
run131 | epochs: 301 | time (s): 277.88 | final validation loss: 0.3825781
run132 | epochs: 301 | time (s): 275.69 | final validation loss: 0.3815425
run133 | epochs: 301 | time (s): 257.67 | final validation loss: 0.3845280
run134 | epochs: 301 | time (s): 255.79 | final validation loss: 0.3833340
run135 | epochs: 301 | time (s): 250.15 | final validation loss: 0.4016480
run136 | epochs: 301 | time (s): 240.74 | final validation loss: 0.4016037
run137 | epochs: 301 | time (s): 242.81 | final validation loss: 0.4013141
run138 | epochs: 301 | time (s): 254.89 | final validation loss: 0.4011676
run139 | epochs: 301 | time (s): 244.97 | final validation loss: 0.4123673
run140 | epochs: 301 | time (s): 244.33 | final validation loss: 0.4073489
run141 | epochs: 301 | time (s): 241.53 | final validation loss: 0.4142876
run142 | epochs: 301 | time (s): 238.10 | final validation loss: 0.4144684
run143 | epochs: 301 | time (s): 246.02 | final validation loss: 0.3999376
run144 | epochs: 301 | time (s): 244.10 | final validation loss: 0.3953008
run145 | epochs: 301 | time (s): 242.99 | final validation loss: 0.3964125
run146 | epochs: 301 | time (s): 241.83 | final validation loss: 0.3990840
run147 | epochs: 301 | time (s): 242.05 | final validation loss: 0.3880490
run148 | epochs: 301 | time (s): 244.76 | final validation loss: 0.3825354
run149 | epochs: 301 | time (s): 245.10 | final validation loss: 0.3842123
run150 | epochs: 301 | time (s): 242.00 | final validation loss: 0.3857731
run151 | epochs: 301 | time (s): 242.65 | final validation loss: 0.3824549
run152 | epochs: 301 | time (s): 246.62 | final validation loss: 0.3812925
run153 | epochs: 301 | time (s): 245.34 | final validation loss: 0.3815920
run154 | epochs: 301 | time (s): 239.80 | final validation loss: 0.3833683
run155 | epochs: 301 | time (s): 245.33 | final validation loss: 0.4027481
run156 | epochs: 301 | time (s): 246.80 | final validation loss: 0.4025658
run157 | epochs: 301 | time (s): 244.44 | final validation loss: 0.4017238
run158 | epochs: 301 | time (s): 243.23 | final validation loss: 0.4016887
run159 | epochs: 301 | time (s): 269.67 | final validation loss: 0.4223722
run160 | epochs: 301 | time (s): 266.79 | final validation loss: 0.4269314
run161 | epochs: 301 | time (s): 267.03 | final validation loss: 0.4250565
run162 | epochs: 301 | time (s): 269.44 | final validation loss: 0.4211294
run163 | epochs: 301 | time (s): 269.81 | final validation loss: 0.4055552
run164 | epochs: 301 | time (s): 264.53 | final validation loss: 0.4052515
run165 | epochs: 301 | time (s): 267.60 | final validation loss: 0.4045532
run166 | epochs: 301 | time (s): 270.09 | final validation loss: 0.4041906
run167 | epochs: 301 | time (s): 269.40 | final validation loss: 0.3810982
run168 | epochs: 301 | time (s): 267.30 | final validation loss: 0.3810550
run169 | epochs: 301 | time (s): 267.98 | final validation loss: 0.3843205
run170 | epochs: 301 | time (s): 269.17 | final validation loss: 0.3822749
run171 | epochs: 301 | time (s): 269.38 | final validation loss: 0.3730570
run172 | epochs: 301 | time (s): 268.17 | final validation loss: 0.3724857
run173 | epochs: 301 | time (s): 267.34 | final validation loss: 0.3724214
run174 | epochs: 301 | time (s): 269.12 | final validation loss: 0.3740217
run175 | epochs: 301 | time (s): 269.10 | final validation loss: 0.4517331
run176 | epochs: 301 | time (s): 266.75 | final validation loss: 0.4514032
run177 | epochs: 301 | time (s): 267.69 | final validation loss: 0.4515685
run178 | epochs: 301 | time (s): 268.92 | final validation loss: 0.4515367
run179 | epochs: 301 | time (s): 267.93 | final validation loss: 0.4206278
run180 | epochs: 301 | time (s): 266.84 | final validation loss: 0.4101565
run181 | epochs: 301 | time (s): 266.46 | final validation loss: 0.4143449
run182 | epochs: 301 | time (s): 269.14 | final validation loss: 0.4202905
run183 | epochs: 301 | time (s): 268.75 | final validation loss: 0.3973316
run184 | epochs: 301 | time (s): 268.24 | final validation loss: 0.4021359
run185 | epochs: 301 | time (s): 271.08 | final validation loss: 0.4047000
run186 | epochs: 301 | time (s): 274.04 | final validation loss: 0.4025208
run187 | epochs: 301 | time (s): 271.77 | final validation loss: 0.3777523
run188 | epochs: 301 | time (s): 272.10 | final validation loss: 0.3758007
run189 | epochs: 301 | time (s): 273.07 | final validation loss: 0.3797025
run190 | epochs: 301 | time (s): 271.98 | final validation loss: 0.3782122
run191 | epochs: 301 | time (s): 272.98 | final validation loss: 0.3694962
run192 | epochs: 301 | time (s): 271.00 | final validation loss: 0.3690486
run193 | epochs: 301 | time (s): 272.97 | final validation loss: 0.3708857
run194 | epochs: 301 | time (s): 271.56 | final validation loss: 0.3690422
run195 | epochs: 301 | time (s): 273.69 | final validation loss: 0.4513400
run196 | epochs: 301 | time (s): 271.64 | final validation loss: 0.4524154
run197 | epochs: 301 | time (s): 271.16 | final validation loss: 0.4507415
run198 | epochs: 301 | time (s): 271.55 | final validation loss: 0.4512186
run199 | epochs: 301 | time (s): 273.22 | final validation loss: 0.4152280
run200 | epochs: 301 | time (s): 275.19 | final validation loss: 0.4161593
run201 | epochs: 301 | time (s): 271.84 | final validation loss: 0.4111432
run202 | epochs: 301 | time (s): 270.86 | final validation loss: 0.4104089
run203 | epochs: 301 | time (s): 272.75 | final validation loss: 0.3970495
run204 | epochs: 301 | time (s): 271.59 | final validation loss: 0.3966908
run205 | epochs: 301 | time (s): 270.87 | final validation loss: 0.3986905
run206 | epochs: 301 | time (s): 271.11 | final validation loss: 0.4027870
run207 | epochs: 301 | time (s): 273.78 | final validation loss: 0.3761819
run208 | epochs: 301 | time (s): 270.29 | final validation loss: 0.3749029
run209 | epochs: 301 | time (s): 272.60 | final validation loss: 0.3788448
run210 | epochs: 301 | time (s): 272.07 | final validation loss: 0.3814156
run211 | epochs: 301 | time (s): 272.57 | final validation loss: 0.3715485
run212 | epochs: 301 | time (s): 274.11 | final validation loss: 0.3686109
run213 | epochs: 301 | time (s): 271.40 | final validation loss: 0.3728177
run214 | epochs: 301 | time (s): 272.79 | final validation loss: 0.3701363
run215 | epochs: 301 | time (s): 272.73 | final validation loss: 0.4573199
run216 | epochs: 301 | time (s): 274.15 | final validation loss: 0.4574149
run217 | epochs: 301 | time (s): 271.02 | final validation loss: 0.4574941
run218 | epochs: 301 | time (s): 271.55 | final validation loss: 0.4584797
run219 | epochs: 301 | time (s): 296.31 | final validation loss: 0.4315217
